Common-Name	Pathway	Pathway_parent_1	Pathway_parent_2	Pathway_parent_3	Pathway_parent_4	Pathway_parent_5	Pathway_parent_6	Pathway_parent_7
superpathway of ornithine degradation	ORNDEG-PWY	AMINE-DEG // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of phenylethylamine degradation	PWY-6071	AMINE-DEG // Phenolic-Compounds-Degradation // Super-Pathways	Degradation // AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Pathways // Degradation // Generalized-Reactions	Generalized-Reactions // Pathways // FRAMES	FRAMES // Generalized-Reactions // THINGS	THINGS // FRAMES // 	 // THINGS
superpathway of phospholipid biosynthesis III (<i>E. coli</i>)	PHOSLIPSYN-PWY	Phospholipid-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of phylloquinol biosynthesis	PWY-5863	Phylloquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of polyamine biosynthesis I	POLYAMSYN-PWY	Polyamine-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of polyamine biosynthesis II	POLYAMINSYN3-PWY	Polyamine-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of polyamine biosynthesis III	PWY-6565	Polyamine-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of purine deoxyribonucleosides degradation	PWY0-1297	NUCLEO-DEG // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of purine nucleotides <i>de novo</i> biosynthesis I	PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of purine nucleotides <i>de novo</i> biosynthesis II	DENOVOPURINE2-PWY	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	PWY0-845	Super-Pathways // Vitamin-B6-Biosynthesis	Pathways // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Generalized-Reactions // Cofactor-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
superpathway of pyrimidine deoxyribonucleoside salvage	PWY-7200	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of pyrimidine deoxyribonucleosides degradation	PWY0-1298	Pyrimidine-Degradation // Super-Pathways	NUCLEO-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	PWY-7211	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn // Super-Pathways	Deoxyribonucleotide-Biosynthesis // Pyrimidine-De-Novo-Biosyn // Pathways	Nucleotide-Biosynthesis // PYR-NUC-SYN // Generalized-Reactions	Biosynthesis // Nucleotide-Biosynthesis // FRAMES	Pathways // Biosynthesis // THINGS	Generalized-Reactions // Pathways // 	FRAMES // Generalized-Reactions // 
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	PWY0-166	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn // Super-Pathways	Deoxyribonucleotide-Biosynthesis // Pyrimidine-De-Novo-Biosyn // Pathways	Nucleotide-Biosynthesis // PYR-NUC-SYN // Generalized-Reactions	Biosynthesis // Nucleotide-Biosynthesis // FRAMES	Pathways // Biosynthesis // THINGS	Generalized-Reactions // Pathways // 	FRAMES // Generalized-Reactions // 
superpathway of pyrimidine nucleobases salvage	PWY-7208	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of pyrimidine ribonucleosides salvage	PWY-7196	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	PWY0-162	Pyrimid-Ribonucleot-De-Novo-Biosyn // Super-Pathways	Pyrimidine-De-Novo-Biosyn // Pathways	PYR-NUC-SYN // Generalized-Reactions	Nucleotide-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	MET-SAM-PWY	S-adenosyl-L-methionine-Biosynthesis // Super-Pathways	C1-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis // Pathways	Carriers-Biosynthesis // Cofactor-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // Biosynthesis // FRAMES	Biosynthesis // Pathways // THINGS	Pathways // Generalized-Reactions // 	Generalized-Reactions // FRAMES // 
superpathway of salicylate degradation	PWY-6182	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of sulfate assimilation and cysteine biosynthesis	SULFATE-CYS-PWY	Sulfur-Metabolism // Super-Pathways	Noncarbon-Nutrients // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of sulfolactate degradation	PWY-6641	Sulfolactate-Degradation // Super-Pathways	Sulfur-Metabolism // Pathways	Noncarbon-Nutrients // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of sulfur oxidation (<i>Acidianus ambivalens</i>)	PWY-5304	Sulfur-Oxidation // Super-Pathways	Sulfur-Metabolism // Pathways	Noncarbon-Nutrients // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of taurine degradation	PWY-1541	Super-Pathways // Taurine-degradation	Pathways // NITROGEN-DEG // Sulfur-Metabolism	Generalized-Reactions // Noncarbon-Nutrients	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
superpathway of tetrahydrofolate biosynthesis	PWY-6612	Folate-Biosynthesis // Super-Pathways	C1-Carrier-Biosynthesis // Vitamin-Biosynthesis // Pathways	Carriers-Biosynthesis // Cofactor-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // Biosynthesis // FRAMES	Biosynthesis // Pathways // THINGS	Pathways // Generalized-Reactions // 	Generalized-Reactions // FRAMES // 
superpathway of tetrahydrofolate biosynthesis and salvage	FOLSYN-PWY	Folate-Biosynthesis // Super-Pathways	C1-Carrier-Biosynthesis // Vitamin-Biosynthesis // Pathways	Carriers-Biosynthesis // Cofactor-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // Biosynthesis // FRAMES	Biosynthesis // Pathways // THINGS	Pathways // Generalized-Reactions // 	Generalized-Reactions // FRAMES // 
superpathway of thiamine diphosphate biosynthesis I	THISYN-PWY	Super-Pathways // Thiamine-Biosynthesis	Pathways // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Generalized-Reactions // Cofactor-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
superpathway of thiamine diphosphate biosynthesis II	PWY-6895	Super-Pathways // Thiamine-Biosynthesis	Pathways // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Generalized-Reactions // Cofactor-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	UBISYN-PWY	Super-Pathways // Ubiquinone-Biosynthesis	Pathways // Quinone-Biosynthesis	Generalized-Reactions // Electron-Carrier-Biosynthesis	FRAMES // Carriers-Biosynthesis	THINGS // Cofactor-Biosynthesis	 // Biosynthesis	 // Pathways
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	PWY-7328	Super-Pathways // UDP-Sugar-Biosynthesis	Pathways // SUGAR-NUCLEOTIDES	Generalized-Reactions // CARBO-BIOSYNTHESIS	FRAMES // Carbohydrates-Biosynthesis	THINGS // Biosynthesis	 // Pathways	 // Generalized-Reactions
superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis	PWY-7332	Super-Pathways // UDP-Sugar-Biosynthesis	Pathways // SUGAR-NUCLEOTIDES	Generalized-Reactions // CARBO-BIOSYNTHESIS	FRAMES // Carbohydrates-Biosynthesis	THINGS // Biosynthesis	 // Pathways	 // Generalized-Reactions
superpathway of vanillin and vanillate degradation	PWY-6338	Super-Pathways // Vanillin-Degradation	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES	 // THINGS
syringate degradation	PWY-6339	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
taxadiene biosynthesis (engineered)	PWY-7392	DITERPENOID-SYN // Super-Pathways	Terpenoid-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
TCA cycle I (prokaryotic)	TCA	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
TCA cycle IV (2-oxoglutarate decarboxylase)	P105-PWY	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
TCA cycle V (2-oxoglutarate synthase)	PWY-6969	Reductive-TCA-Cycles // TCA-VARIANTS	Autotrophic-CO2-Fixation // Energy-Metabolism	CO2-Fixation // Pathways	C1-COMPOUNDS // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
TCA cycle VI (Helicobacter)	REDCITCYC	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
TCA cycle VII (acetate-producers)	PWY-7254	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
tetrapyrrole biosynthesis I (from glutamate)	PWY-5188	Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS	
tetrapyrrole biosynthesis II (from glycine)	PWY-5189	Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS	
thiamine diphosphate salvage II	PWY-6897	Super-Pathways // Thiamin-Salvage	Pathways // Thiamine-Biosynthesis	Generalized-Reactions // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	FRAMES // Cofactor-Biosynthesis	THINGS // Biosynthesis	 // Pathways	 // Generalized-Reactions
thiazole component of thiamine diphosphate biosynthesis I	PWY-6892	Thiazole-Biosynthesis	Thiamine-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
thiazole component of thiamine diphosphate biosynthesis II	PWY-6891	Thiazole-Biosynthesis	Thiamine-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
toluene degradation I (aerobic) (<I>via</I> <i>o</I>-cresol)	PWY-5180	Super-Pathways // TOLUENE-DEG	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES	 // THINGS
toluene degradation II (aerobic) (<I>via 4-methylcatechol</i>)	TOLUENE-DEG-3-OH-PWY	TOLUENE-DEG	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
toluene degradation III (aerobic) (via <i>p</i>-cresol)	PWY-5181	Super-Pathways // TOLUENE-DEG	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES	 // THINGS
toluene degradation IV (aerobic) (via catechol)	PWY-5178	Super-Pathways // TOLUENE-DEG	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES	 // THINGS
tRNA charging	TRNA-CHARGING-PWY	Aminoacyl-tRNAs-Charging // Metabolic-Clusters	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
tRNA processing	PWY0-1479	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS	
ubiquinol-10 biosynthesis (early decarboxylation)	PWY-5857	Ubiquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
ubiquinol-7 biosynthesis (early decarboxylation)	PWY-5855	Ubiquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
ubiquinol-8 biosynthesis (early decarboxylation)	PWY-6708	Ubiquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
ubiquinol-9 biosynthesis (early decarboxylation)	PWY-5856	Ubiquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	PWY-7090	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	UDPNAGSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	PWY-6387	Acetylmuramoyl-Pentapeptide-Biosynthesis	Cell-Wall-Biosynthesis	Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	PWY-6386	Acetylmuramoyl-Pentapeptide-Biosynthesis	Cell-Wall-Biosynthesis	Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
UMP biosynthesis I	PWY-5686	UMP-Biosynthesis	Pyrimid-Ribonucleot-De-Novo-Biosyn	Pyrimidine-De-Novo-Biosyn	PYR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways
urea cycle	PWY-4984	NITROGEN-DEG	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
vanillin and vanillate degradation I	PWY-7097	Vanillin-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
vanillin and vanillate degradation II	PWY-7098	Vanillin-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
vitamin B<sub>6</sub> degradation I	PWY-5499	Vitamin-B6-Degradation	Vitamin-Degradation	COFACTOR-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
